,Category,Name,Rating,Number of reviews,5 stars,4 stars,3 stars,2 stars,1 star
207,Boutique de cadeaux,French Blossom,"4,6",400,87,5,2,2,4
208,Marché en ligne,La Gazette Nord - Pas de Calais,"4,6",362,75,17,5,1,2
209,Fabrique de chaussures,Maison Joseph,"4,6",338,82,8,3,<1,6
210,Bijouterie,Lesjoyauxdaure,"4,6",337,78,13,1,1,7
211,Horlogerie,Tempka,"4,6",326,85,4,2,2,7
212,Boutique d'accessoires de mode,Wood&Chic,"4,6",310,75,13,2,4,6
213,Bijouterie,Les Bijoux de Marilou,"4,6",246,80,10,6,<1,3
214,Horlogerie,Conteenium,"4,6",243,83,7,5,2,3
215,Magasin de vêtements,Labdip,"4,6",181,80,12,2,3,3
216,Bijouterie fantaisie,Pomme Cannelle,"4,6",175,89,5,1,1,4
217,Boutique de loisirs créatifs,Franceparacord,"4,6",171,83,9,4,<1,3
218,Magasin de vêtements pour femmes,salut beauté,"4,6",163,92,3,3,0,2
219,Boutique d'accessoires de mode,Ceres France,"4,6",150,86,9,<1,2,2
220,Magasin de chaussures,karlandmax.com,"4,6",125,83,12,2,2,<1
221,Boutique de sacs à main,Jacques Esterel,"4,6",110,84,13,<1,0,2
222,Magasin de chaussures,ZESPÀ,NA,NA,87,4,2,2,5
223,Fabricant de bijoux,Gautrot,"4,6",103,87,7,4,0,2
224,Bijouterie fantaisie,Preciousse,"4,6",100,83,10,5,1,1
225,Magasin de jeans,modeurbaine.fr,"4,6",94,80,11,7,1,1
226,Bijouterie fantaisie,Denaive Diffusion SARL,"4,6",92,89,8,0,1,2
227,Boutique d'accessoires de mode,Gypso,"4,6",88,83,10,5,2,0
228,Boutique d'accessoires de mode,Shoelace Factory,"4,6",75,82,12,1,1,4
229,Marché en ligne,Crypto Recharge,"4,6",71,90,4,3,0,3
230,Fabrique de chaussures,lapantouflebio.com,"4,6",63,85,9,2,2,2
231,Magasin de maillots de bain,Fenekia,"4,6",62,89,2,3,3,3
232,Horlogerie,Tempus Shop,"4,6",62,90,2,3,2,3
233,Magasin d'accessoires informatiques,NRV,"4,6",56,87,9,2,0,2
234,Artisanat,encens-naturels.com,"4,6",53,90,4,4,0,2
235,Boutique d'accessoires de mode,Doux Cachemire,"4,6",53,87,9,0,0,4
236,Bijouterie fantaisie,Jaina Collection,"4,6",50,92,0,2,2,4
237,Magasin de jouets pour enfants,De Môme en Môme,"4,6",48,92,4,2,0,2
238,Boutique d'articles de mode,Mountaingirl,"4,6",47,94,0,2,0,4
239,Magasin de puériculture,Izybaby,"4,6",47,85,11,2,2,0
240,Magasin de vêtements,WECYRCLED,"4,6",45,87,9,0,2,2
241,Magasin discount,Destock Drive Breteuil,"4,6",44,96,2,2,0,0
242,Bijouterie,MSB for You,"4,6",38,89,3,5,0,3
243,Service de cirage de chaussures,La Boutique Du Cirage,"4,6",35,91,6,0,3,0
244,Boutique d'articles de mode,AZAMOUL,"4,6",33,85,9,6,0,0
245,Boutique d'accessoires de mode,My Boo-Kase,"4,6",33,91,6,3,0,0
246,Magasin de vêtements pour enfants,kapoune.com,"4,6",32,94,3,0,3,0
247,Boutique d'accessoires de mode,Lescalotsdevero,"4,6",30,90,10,0,0,0
248,Entreprise de confection,Adorastudio,"4,6",29,93,3,4,0,0
249,Magasin de vêtements,Solinaboutique,"4,6",29,93,3,4,0,0
250,Magasin de vêtements pour femmes,La Jupe Volante,"4,6",26,100,0,0,0,0
251,Magasin de vêtements pour enfants,C-MonEtiquette,"4,5",52055,79,12,3,2,4
252,Boutique de lingerie,Mesdessous,"4,5",14524,78,12,3,2,5
