,Category,Name,Rating,Number of reviews,5 stars,4 stars,3 stars,2 stars,1 star
1102,Magasin de cannabis,Cbd Evasion - Fréjus - Draguignan,NA,0,0,0,0,0,0
1103,"Aliments, boissons & tabac",Center Securite-privee,NA,0,0,0,0,0,0
1104,Caviste,Vinocratie,NA,0,0,0,0,0,0
1105,"Aliments, boissons & tabac",Legrandthe,NA,0,0,0,0,0,0
1106,Boucherie-charcuterie,Laviandecasher,NA,0,0,0,0,0,0
1107,"Aliments, boissons & tabac",Foodyvino,NA,0,0,0,0,0,0
1108,Restaurant,Mana - Aix,NA,0,0,0,0,0,0
1109,Salon de thé,Creativ The,NA,0,0,0,0,0,0
1110,"Aliments, boissons & tabac",Delictus,NA,0,0,0,0,0,0
1111,Magasin d'alimentation naturelle,Lestresorsderable,NA,0,0,0,0,0,0
1112,"Aliments, boissons & tabac",GO Vapo,NA,0,0,0,0,0,0
1113,Prestataire spécialisé en études de marché,THE GLAM PRESTIGE GROUP,NA,0,0,0,0,0,0
1114,Boutique de café,Les Torrefacteurs Français,NA,0,0,0,0,0,0
1115,"Aliments, boissons & tabac",Ciredabeille,NA,0,0,0,0,0,0
1116,Vente de fruits et légumes en gros,Maison Callico,NA,0,0,0,0,0,0
1117,Boucherie,Boucherie Charcuterie-de-campagne,NA,0,0,0,0,0,0
1118,Grossiste en vins,Domaine De-rosiers,NA,0,0,0,0,0,0
1119,Brasserie,La Pinte Française,NA,0,0,0,0,0,0
1120,Exploitation viticole,Galuval,NA,0,0,0,0,0,0
1121,"Aliments, boissons & tabac",Vinoclub,NA,0,0,0,0,0,0
